text,label
under suspicion of heroin dealing,Drug Trafficking
attempting to deal narcotic drug onto grounds of a correctional facility,Drug Trafficking
"carrying a controlled substance, fentanyl, with intent to deliver 1000 grams or more",Drug Trafficking
drugs for sale,Drug Trafficking
deliver or deal meth,Drug Trafficking
distributing meth,Drug Trafficking
owning precursors to make opioid,Drug Trafficking
heroin for sale,Drug Trafficking
meth trafficking - felony,Drug Trafficking
distribution of meth,Drug Trafficking
transporting drug,Drug Trafficking
"charged with a misdemeanor, selling of illegal substance",Drug Trafficking
under suspicion of trafficking offenses,Drug Trafficking
possession of controlled substance with intent to sell,Drug Trafficking
exchanging meth for profit,Drug Trafficking
owning a schedule 1 substance with intent to deliver,Drug Trafficking
under suspicion of cultivating drug,Drug Trafficking
possessing a schedule 6 substance with intent to traffic,Drug Trafficking
"in possession of a controlled substance, controlled substance, with intent to deliver 750 grams or more",Drug Trafficking
drugs trafficking - felony,Drug Trafficking
"transport illegal substance intent to deal, 15 grams or more",Drug Trafficking
having marihuana with purpose to distribute,Drug Trafficking
arrested for manufacturing cocaine,Drug Trafficking
marijana for sale,Drug Trafficking
aiding and abetting to traffic cocaine,Drug Trafficking
accused of transport of controlled substance,Drug Trafficking
in possession of opioid with purpose to traffic,Drug Trafficking
possessing narcotic drug with purpose to deal,Drug Trafficking
possession of fentanyl with intent to deal,Drug Trafficking
arrested for manufacturing drugs,Drug Trafficking
"arrested for a felony, drug trafficking",Drug Trafficking
possession of drug with intent to deliver,Drug Trafficking
arrested for cultivating cocaine,Drug Trafficking
under suspicion of making heroin for sale,Drug Trafficking
charged with transport of opioid,Drug Trafficking
indicted for cultivating drug,Drug Trafficking
possess controlled substanc intention to traffic,Drug Trafficking
"indicted for a misdemeanor, selling of drug",Drug Trafficking
distribution of fentanyl,Drug Trafficking
"charged with a misdemeanor, selling of cannabis",Drug Trafficking
in possession of controlled substance with purpose to sell,Drug Trafficking
using marijuana with purpose to distribute,Drug Trafficking
possession of marihuana with intent,Drug Trafficking
"having with intent, 250 grams of marijuana",Drug Trafficking
exchanging crack cocaine for financial profit,Drug Trafficking
possession of marijuana with intent to traffic,Drug Trafficking
carrying controlled substance for sale at a downtown area,Drug Trafficking
indicted for having fentanyl for sale,Drug Trafficking
sell or deliver within 250 yards of a shopping street,Drug Trafficking
charged with having meth for sale,Drug Trafficking
improper conveyance of heroin in a prison,Drug Trafficking
charged with transport of opioid,Drug Trafficking
carrying methamphetamine with intention to sell,Drug Trafficking
plotting to sell drugs onto grounds of a prison,Drug Trafficking
sell or deliver within 45 yards of a main street,Drug Trafficking
methamphetamine trafficking - felony,Drug Trafficking
sell or deliver within 5 to 10 yards of a parking lot,Drug Trafficking
accused of operation of a clandestine fentanyl laboratory,Drug Trafficking
charged with illegally smuggling heroin to sell on market,Drug Trafficking
charged with a trafficking offense,Drug Trafficking
planning to sell marijuana for profit,Drug Trafficking
deliver or sell narcotic drug,Drug Trafficking
indicted for a trafficking offense,Drug Trafficking
accused of illegally smuggling drugs to sell on market,Drug Trafficking
accused of cocaine dealing,Drug Trafficking
"owning with intent, 50-100 grams of marijuana",Drug Trafficking
sell or deliver within 750 yards of a shopping street,Drug Trafficking
accused of operation of a clandestine opioid laboratory,Drug Trafficking
"transport meth intent to trade, 50-100 grams or more",Drug Trafficking
prison inmate trafficked drug - felony,Drug Trafficking
"using a controlled substance, opioid, with intent to deliver 5 to 10 grams or more",Drug Trafficking
"arrested for a misdemeanor, selling of controlled substanc",Drug Trafficking
"accused of a felony, drug trafficking",Drug Trafficking
"transport marijana intent to traffic, 5 to 10 grams or more",Drug Trafficking
transporting fentanyl,Drug Trafficking
exchanging drugs for economic benefit,Drug Trafficking
charged with transport of cocaine,Drug Trafficking
arrested for opioid dealing,Drug Trafficking
charged with transport of marihuana,Drug Trafficking
sell or deliver within 45 yards of a parking lot,Drug Trafficking
indicted for manufacturing controlled substanc,Drug Trafficking
aiding and abetting to trade marijana onto grounds of a jail,Drug Trafficking
deliver or deliver cannabis,Drug Trafficking
under suspicion of cultivating heroin,Drug Trafficking
trafficking controlled substance,Drug Trafficking
possession of meth with intent,Drug Trafficking
"accused of a misdemeanor, selling of drug",Drug Trafficking
distributing methamphetamine,Drug Trafficking
"found with a controlled substance, controlled substance, with intent to deliver 5 to 10 grams or more",Drug Trafficking
accessory after the fact to traffic drugs onto grounds of a penal facility,Drug Trafficking
planning to sell marijuana for profit,Drug Trafficking
indicted for manufacturing heroin,Drug Trafficking
accused of manufacturing opioid,Drug Trafficking
in possession of narcotic drug for sale,Drug Trafficking
accused of transport of drugs,Drug Trafficking
possess controlled substance intention to distribute,Drug Trafficking
drugs for delivery,Drug Trafficking
"arrested for a felony, drug trafficking",Drug Trafficking
"indicted for a felony, drug trafficking",Drug Trafficking
possession of fentanyl with intent,Drug Trafficking
exchanging cocaine for profit,Drug Trafficking
possession of illegal substance with intent,Drug Trafficking
having fentanyl for sale,Drug Trafficking
"arrested for a felony, drug trafficking",Drug Trafficking
indicted for cultivating opioid,Drug Trafficking
"indicted for a misdemeanor, selling of drugs",Drug Trafficking
accused of a trafficking offense,Drug Trafficking
accused of making drugs for sale,Drug Trafficking
illegal substance trafficking - felony,Drug Trafficking
planning to sell crack cocaine for profit,Drug Trafficking
indicted for operation of a clandestine opioid laboratory,Drug Trafficking
"accused of a misdemeanor, selling of marijuana",Drug Trafficking
possession of opioid with intent to traffic,Drug Trafficking
cocaine for sale,Drug Trafficking
distribution of meth,Drug Trafficking
arrested for illegally smuggling illegal substance to sell on market,Drug Trafficking
distributing cannabis,Drug Trafficking
owning precursors to make opioid,Drug Trafficking
under suspicion of transport of controlled substanc,Drug Trafficking
"transport opioid intent to traffic, 1000 grams or more",Drug Trafficking
trafficking cocaine,Drug Trafficking
arrested for controlled substanc dealing,Drug Trafficking
arrested for controlled substance dealing,Drug Trafficking
carrying marijuana with intention to traffic,Drug Trafficking
having a schedule 6 substance with intent to deal,Drug Trafficking
carrying cocaine for sale,Drug Trafficking
illegal substance for delivery,Drug Trafficking
planned to deliver drugs onto grounds of a penal facility,Drug Trafficking
plotting to deal controlled substance onto grounds of a correctional facility,Drug Trafficking
selling drug by the intersection,Drug Trafficking
"under suspicion of a felony, drug trafficking",Drug Trafficking
possessing marijuana with purpose to sell,Drug Trafficking
detention center inmate trafficked opioid - felony,Drug Trafficking
having a schedule 4 substance with intent to trade,Drug Trafficking
jail inmate trafficked marijuana - felony,Drug Trafficking
accused of in possession of drugs for sale,Drug Trafficking
trafficking cannabis,Drug Trafficking
possession of drug with intent to traffic,Drug Trafficking
transporting drug,Drug Trafficking
sell or deliver within 5 yards of a town hall,Drug Trafficking
transporting drug,Drug Trafficking
distribution of drugs,Drug Trafficking
planning to sell meth for profit,Drug Trafficking
drug for delivery,Drug Trafficking
distributing methamphetamine,Drug Trafficking
carrying cocaine for sale,Drug Trafficking
"arrested for a misdemeanor, selling of cocaine",Drug Trafficking
arrested for making drugs for sale,Drug Trafficking
sell or deliver within 50-100 yards of a town hall,Drug Trafficking
possessing a schedule 6 substance with intent to traffic,Drug Trafficking
indicted for making fentanyl for sale,Drug Trafficking
charged with operation of a clandestine meth laboratory,Drug Trafficking
under suspicion of illegally smuggling controlled substanc to sell on market,Drug Trafficking
"using with intent, 5 to 10 grams of crack cocaine",Drug Trafficking
distributing cannabis,Drug Trafficking
carrying heroin with intention to distribute,Drug Trafficking
"possessing with intent, 250 grams of cocaine",Drug Trafficking
deliver or traffic marijuana,Drug Trafficking
planning to sell meth for profit,Drug Trafficking
"charged with a misdemeanor, selling of methamphetamine",Drug Trafficking
accused of dealing in meth,Drug Trafficking
"accused of a misdemeanor, selling of controlled substanc",Drug Trafficking
selling methamphetamine by the town hall,Drug Trafficking
"using a controlled substance, cannabis, with intent to deliver 5 to 10 grams or more",Drug Trafficking
"accused of a misdemeanor, selling of crack cocaine",Drug Trafficking
possess marihuana intention to distribute,Drug Trafficking
selling drugs by the town hall,Drug Trafficking
fentanyl for delivery,Drug Trafficking
carrying precursors to make opioid,Drug Trafficking
accused of making marihuana for sale,Drug Trafficking
correctional facility inmate trafficked opioid - felony,Drug Trafficking
planning to sell controlled substance for profit,Drug Trafficking
having a schedule 3 substance with intent to deliver,Drug Trafficking
distributing controlled substanc,Drug Trafficking
owning precursors to make marijuana,Drug Trafficking
arrested for operation of a clandestine meth laboratory,Drug Trafficking
using precursors to make methamphetamine,Drug Trafficking
sell or deliver within 1000 yards of a intersection,Drug Trafficking
accused of cultivating crack cocaine,Drug Trafficking
planning to sell opioid for profit,Drug Trafficking
arrested for transport of controlled substanc,Drug Trafficking
distribution of narcotic drug,Drug Trafficking
trafficking cocaine,Drug Trafficking
using controlled substanc with purpose to distribute,Drug Trafficking
"accused of a felony, drug trafficking",Drug Trafficking
possess marihuana intention to sell,Drug Trafficking
penal facility inmate trafficked opioid - felony,Drug Trafficking
indicted for illegally smuggling cocaine to sell on market,Drug Trafficking
under suspicion of operation of a clandestine drugs laboratory,Drug Trafficking
deliver or traffic meth,Drug Trafficking
sell or deliver within 50-100 yards of a apartment,Drug Trafficking
possession of illegal substance with intent to distribute,Drug Trafficking
sell or deliver within 15 yards of a courthouse,Drug Trafficking
possession of controlled substance with intent to deal,Drug Trafficking
charged with dealing in illegal substance,Drug Trafficking
distribution of methamphetamine,Drug Trafficking
charged with owning marijana for sale,Drug Trafficking
owning a schedule 1 substance with intent to distribute,Drug Trafficking
accused of dealing in cannabis,Drug Trafficking
carrying narcotic drug with intention to deliver,Drug Trafficking
under suspicion of manufacturing marijana,Drug Trafficking
exchanging marijana for financial gain,Drug Trafficking
delivery of marijana,Drug Trafficking
under suspicion of a trafficking offense,Drug Trafficking
conspiracy to traffic drugs,Drug Trafficking
charged with making cannabis for sale,Drug Trafficking
deliver or trade controlled substance,Drug Trafficking
exchanging heroin for profit,Drug Trafficking
accused of operation of a clandestine marijuana laboratory,Drug Trafficking
sell or deliver within 45 yards of a shopping street,Drug Trafficking
indicted for a trafficking offense,Drug Trafficking
sell or deliver within 5 yards of a school zone,Drug Trafficking
"indicted for a felony, drug trafficking",Drug Trafficking
delivery of heroin,Drug Trafficking
"carrying a controlled substance, cocaine, with intent to deliver 1000 grams or more",Drug Trafficking
detention center inmate trafficked meth - felony,Drug Trafficking
unlawful conveyance of methamphetamine in a correctional facility,Drug Trafficking
distributing controlled substanc,Drug Trafficking
indicted for cultivating controlled substanc,Drug Trafficking
"arrested for a felony, drug trafficking",Drug Trafficking
jail inmate trafficked meth - felony,Drug Trafficking
"charged with a felony, drug trafficking",Drug Trafficking
possess cannabis intention to traffic,Drug Trafficking
under suspicion of operation of a clandestine drug laboratory,Drug Trafficking
transporting marijana,Drug Trafficking
carrying meth for sale at a town hall,Drug Trafficking
"using with intent, 50-100 grams of meth",Drug Trafficking
accused of trafficking offenses,Drug Trafficking
possession of illegal substance with intent to deliver,Drug Trafficking
sell or deliver within 1000 yards of a apartment,Drug Trafficking
selling opioid by the town hall,Drug Trafficking
controlled substance trafficking - felony,Drug Trafficking
indicted for illegally smuggling meth to sell on market,Drug Trafficking
"arrested for a felony, drug trafficking",Drug Trafficking
deliver or distribute drug,Drug Trafficking
charged with manufacturing marijana,Drug Trafficking
"transport cannabis intent to distribute, 1000 grams or more",Drug Trafficking
transporting marijana,Drug Trafficking
transporting illegal substance,Drug Trafficking
"indicted for a felony, drug trafficking",Drug Trafficking
indicted for possessing controlled substance for sale,Drug Trafficking
selling marijuana by the courthouse,Drug Trafficking
"under suspicion of a misdemeanor, selling of marihuana",Drug Trafficking
arrested for a trafficking offense,Drug Trafficking
distribution of meth,Drug Trafficking
penal facility inmate trafficked marijana - felony,Drug Trafficking
distributing meth,Drug Trafficking
narcotic drug for delivery,Drug Trafficking
indicted for narcotic drug dealing,Drug Trafficking
sell or deliver within 5 yards of a town hall,Drug Trafficking
under suspicion of cultivating methamphetamine,Drug Trafficking
planning to sell cannabis for profit,Drug Trafficking
carrying drugs for sale,Drug Trafficking
possession of crack cocaine with intent,Drug Trafficking
possess marihuana intention to deal,Drug Trafficking
carrying cannabis with intention to trade,Drug Trafficking
selling cannabis by the downtown area,Drug Trafficking
using a schedule 4 substance with intent to deal,Drug Trafficking
accused of trafficking offenses,Drug Trafficking
carrying precursors to make heroin,Drug Trafficking
indicted for manufacturing meth,Drug Trafficking
arrested for dealing in cocaine,Drug Trafficking
planning to sell controlled substance for profit,Drug Trafficking
possessing drugs with purpose to trade,Drug Trafficking
transporting meth,Drug Trafficking
carrying controlled substanc for sale at a library,Drug Trafficking
found with a schedule 3 substance with intent to distribute,Drug Trafficking
selling meth by the shopping street,Drug Trafficking
carrying methamphetamine with intention to sell,Drug Trafficking
trafficking drugs,Drug Trafficking
distributing drugs,Drug Trafficking
"having with intent, 1000 grams of opioid",Drug Trafficking
cannabis trafficking - felony,Drug Trafficking
under suspicion of transport of cannabis,Drug Trafficking
attempting to traffic cannabis,Drug Trafficking
"owning a controlled substance, narcotic drug, with intent to deliver 1000 grams or more",Drug Trafficking
accused of transport of opioid,Drug Trafficking
selling fentanyl by the intersection,Drug Trafficking
"having a controlled substance, marijana, with intent to deliver 50-100 grams or more",Drug Trafficking
distributing opioid,Drug Trafficking
arrested for transport of marijana,Drug Trafficking
trafficking cocaine,Drug Trafficking
charged with transport of fentanyl,Drug Trafficking
possess marijuana intention to distribute,Drug Trafficking
carrying cannabis with intention to trade,Drug Trafficking
exchanging drugs for economic benefit,Drug Trafficking
arrested for marijuana dealing,Drug Trafficking
accused of making controlled substanc for sale,Drug Trafficking
arrested for illegally smuggling crack cocaine to sell on market,Drug Trafficking
transporting cannabis,Drug Trafficking
distributing illegal substance,Drug Trafficking
"indicted for a felony, drug trafficking",Drug Trafficking
trafficking narcotic drug,Drug Trafficking
possession of drug with intent,Drug Trafficking
under suspicion of opioid dealing,Drug Trafficking
marihuana for sale,Drug Trafficking
deliver or deal illegal substance,Drug Trafficking
having fentanyl for sale,Drug Trafficking
correctional facility inmate trafficked heroin - felony,Drug Trafficking
sell or deliver within 45 yards of a busy area,Drug Trafficking
wrongful conveyance of drug in a jail,Drug Trafficking
deliver or distribute narcotic drug,Drug Trafficking
charged with illegally smuggling controlled substanc to sell on market,Drug Trafficking
selling marihuana by the shopping street,Drug Trafficking
trafficking cannabis,Drug Trafficking
owning methamphetamine with purpose to deal,Drug Trafficking
accused of cultivating meth,Drug Trafficking
trafficking marijana,Drug Trafficking
accused of cultivating drug,Drug Trafficking
possessing crack cocaine with purpose to trade,Drug Trafficking
under suspicion of operation of a clandestine narcotic drug laboratory,Drug Trafficking
using a schedule 5 substance with intent to traffic,Drug Trafficking
arrested for manufacturing opioid,Drug Trafficking
cocaine for sale,Drug Trafficking
distributing crack cocaine,Drug Trafficking
possession of cannabis with intent to deal,Drug Trafficking
arrested for cultivating opioid,Drug Trafficking
accused of operation of a clandestine opioid laboratory,Drug Trafficking
solicitation to sell crack cocaine onto grounds of a prison,Drug Trafficking
sell or deliver within 5 to 10 yards of a downtown area,Drug Trafficking
arrested for in possession of methamphetamine for sale,Drug Trafficking
possess methamphetamine intention to trade,Drug Trafficking
charged with transport of controlled substanc,Drug Trafficking
possession of marihuana with intent to sell,Drug Trafficking
"transport methamphetamine intent to trade, 50-100 grams or more",Drug Trafficking
found with a schedule 4 substance with intent to trade,Drug Trafficking
owning fentanyl with purpose to deliver,Drug Trafficking
intended to sell narcotic drug onto grounds of a correctional facility,Drug Trafficking
in possession of cocaine with purpose to traffic,Drug Trafficking
indicted for dealing in marijuana,Drug Trafficking
transporting controlled substanc,Drug Trafficking
meth for delivery,Drug Trafficking
indicted for operation of a clandestine heroin laboratory,Drug Trafficking
exchanging fentanyl for economic benefit,Drug Trafficking
sell or deliver within 5 yards of a parking lot,Drug Trafficking
distributing illegal substance,Drug Trafficking
transporting drug,Drug Trafficking
possess controlled substance intention to deal,Drug Trafficking
transporting opioid,Drug Trafficking
possession of controlled substanc with intent to traffic,Drug Trafficking
delivery of meth,Drug Trafficking
charged with manufacturing controlled substance,Drug Trafficking
charged with dealing in marihuana,Drug Trafficking
"transport illegal substance intent to traffic, 750 grams or more",Drug Trafficking
transporting illegal substance,Drug Trafficking
"transport opioid intent to trade, 5 to 10 grams or more",Drug Trafficking
"found with with intent, 15 grams of narcotic drug",Drug Trafficking
found with cocaine with purpose to distribute,Drug Trafficking
"using with intent, 5 to 10 grams of cocaine",Drug Trafficking
charged with trafficking offenses,Drug Trafficking
possess marijana intention to sell,Drug Trafficking
sell or deliver within 1000 yards of a parking lot,Drug Trafficking
indicted for dealing in fentanyl,Drug Trafficking
"using with intent, 750 grams of methamphetamine",Drug Trafficking
charged with cultivating drugs,Drug Trafficking
"transport marihuana intent to traffic, 250 grams or more",Drug Trafficking
charged with making marihuana for sale,Drug Trafficking
planning to sell narcotic drug for profit,Drug Trafficking
charged with using fentanyl for sale,Drug Trafficking
selling controlled substance by the busy area,Drug Trafficking
selling marijuana by the public park,Drug Trafficking
intended to deal cannabis onto grounds of a detention center,Drug Trafficking
having controlled substanc with purpose to deliver,Drug Trafficking
"having with intent, 250 grams of drug",Drug Trafficking
accused of controlled substanc dealing,Drug Trafficking
exchanging opioid for financial gain,Drug Trafficking
under suspicion of trafficking offenses,Drug Trafficking
cannabis trafficking - felony,Drug Trafficking
accused of cultivating drugs,Drug Trafficking
carrying methamphetamine for sale at a downtown area,Drug Trafficking
"charged with a misdemeanor, selling of marijuana",Drug Trafficking
possession of cannabis with intent,Drug Trafficking
in possession of controlled substance with purpose to deal,Drug Trafficking
indicted for manufacturing narcotic drug,Drug Trafficking
drugs trafficking - felony,Drug Trafficking
selling marijana by the public park,Drug Trafficking
accused of illegally smuggling narcotic drug to sell on market,Drug Trafficking
carrying meth with intention to deal,Drug Trafficking
intended to sell marijana onto grounds of a prison,Drug Trafficking
wrongful conveyance of crack cocaine in a penal facility,Drug Trafficking
"transport narcotic drug intent to traffic, 1000 grams or more",Drug Trafficking
correctional facility inmate trafficked illegal substance - felony,Drug Trafficking
having precursors to make controlled substanc,Drug Trafficking
deliver or distribute crack cocaine,Drug Trafficking
"found with a controlled substance, controlled substanc, with intent to deliver 250 grams or more",Drug Trafficking
possession of controlled substanc with intent to traffic,Drug Trafficking
possessing fentanyl with purpose to sell,Drug Trafficking
sell or deliver within 250 yards of a public park,Drug Trafficking
accused of dealing in marijuana,Drug Trafficking
owning controlled substance with purpose to traffic,Drug Trafficking
delivery of crack cocaine,Drug Trafficking
marijuana for delivery,Drug Trafficking
intended to distribute heroin onto grounds of a correctional facility,Drug Trafficking
arrested for illegally smuggling marijana to sell on market,Drug Trafficking
possessing a schedule 2 substance with intent to distribute,Drug Trafficking
possession of meth with intent,Drug Trafficking
narcotic drug trafficking - felony,Drug Trafficking
charged with dealing in meth,Drug Trafficking
cocaine trafficking - felony,Drug Trafficking
indicted for making fentanyl for sale,Drug Trafficking
deliver or traffic narcotic drug,Drug Trafficking
trafficking fentanyl,Drug Trafficking
heroin for sale,Drug Trafficking
marijuana for delivery,Drug Trafficking
under suspicion of found with heroin for sale,Drug Trafficking
possess controlled substance intention to deal,Drug Trafficking
arrested for dealing in crack cocaine,Drug Trafficking
"accused of a misdemeanor, selling of methamphetamine",Drug Trafficking
aiding and abetting to traffic opioid,Drug Trafficking
attempting to deliver drugs onto grounds of a penal facility,Drug Trafficking
"indicted for a misdemeanor, selling of cocaine",Drug Trafficking
attempting to traffic heroin,Drug Trafficking
indicted for operation of a clandestine marihuana laboratory,Drug Trafficking
aiding and abetting to traffic controlled substanc,Drug Trafficking
exchanging marijuana for financial gain,Drug Trafficking
planning to sell marihuana for profit,Drug Trafficking
possess marihuana intention to distribute,Drug Trafficking
having precursors to make cocaine,Drug Trafficking
carrying meth for sale at a town hall,Drug Trafficking
using precursors to make opioid,Drug Trafficking
in possession of precursors to make illegal substance,Drug Trafficking
banned conveyance of heroin in a prison,Drug Trafficking
having a schedule 1 substance with intent to distribute,Drug Trafficking
sell or deliver within 15 yards of a intersection,Drug Trafficking
under suspicion of having marijuana for sale,Drug Trafficking
delivery of marijana,Drug Trafficking
indicted for dealing in illegal substance,Drug Trafficking
prison inmate trafficked heroin - felony,Drug Trafficking
possess meth intention to traffic,Drug Trafficking
exchanging marijuana for monetary gain,Drug Trafficking
possessing a schedule 5 substance with intent to deal,Drug Trafficking
arrested for a trafficking offense,Drug Trafficking
"under suspicion of a felony, drug trafficking",Drug Trafficking
accused of making drugs for sale,Drug Trafficking
"indicted for a felony, drug trafficking",Drug Trafficking
indicted for found with controlled substanc for sale,Drug Trafficking
selling controlled substanc by the main street,Drug Trafficking
"under suspicion of a misdemeanor, selling of cannabis",Drug Trafficking
arrested for trafficking offenses,Drug Trafficking
delivery of illegal substance,Drug Trafficking
possession of drug with intent,Drug Trafficking
"carrying a controlled substance, drugs, with intent to deliver 5 grams or more",Drug Trafficking
drug for delivery,Drug Trafficking
under suspicion of a trafficking offense,Drug Trafficking
accused of carrying marihuana for sale,Drug Trafficking
carrying cocaine for sale at a town hall,Drug Trafficking
carrying opioid with intention to deal,Drug Trafficking
"carrying a controlled substance, marihuana, with intent to deliver 750 grams or more",Drug Trafficking
crack cocaine for delivery,Drug Trafficking
"possessing with intent, 15 grams of fentanyl",Drug Trafficking
"transport methamphetamine intent to sell, 45 grams or more",Drug Trafficking
possession of controlled substance with intent,Drug Trafficking
under suspicion of carrying marijuana for sale,Drug Trafficking
exchanging illegal substance for profit,Drug Trafficking
possession of fentanyl with intent,Drug Trafficking
"transport heroin intent to sell, 750 grams or more",Drug Trafficking
arrested for trafficking offenses,Drug Trafficking
planning to sell crack cocaine for profit,Drug Trafficking
"in possession of with intent, 45 grams of meth",Drug Trafficking
distributing meth,Drug Trafficking
"charged with a felony, drug trafficking",Drug Trafficking
under suspicion of making fentanyl for sale,Drug Trafficking
transporting cannabis,Drug Trafficking
accused of using controlled substance for sale,Drug Trafficking
narcotic drug for sale,Drug Trafficking
illegal substance for sale,Drug Trafficking
delivery of methamphetamine,Drug Trafficking
"carrying with intent, 1000 grams of drug",Drug Trafficking
accused of cultivating crack cocaine,Drug Trafficking
"arrested for a misdemeanor, selling of marijuana",Drug Trafficking
"owning with intent, 50-100 grams of controlled substanc",Drug Trafficking
planning to sell narcotic drug for profit,Drug Trafficking
charged with operation of a clandestine illegal substance laboratory,Drug Trafficking
distributing narcotic drug,Drug Trafficking
drug trafficking - felony,Drug Trafficking
carrying illegal substance for sale at a courthouse,Drug Trafficking
sell or deliver within 5 to 10 yards of a school zone,Drug Trafficking
illegal substance for sale,Drug Trafficking
distribution of controlled substanc,Drug Trafficking
carrying crack cocaine with intention to trade,Drug Trafficking
indicted for cannabis dealing,Drug Trafficking
carrying crack cocaine for sale at a busy area,Drug Trafficking
selling controlled substance by the intersection,Drug Trafficking
distributing marijana,Drug Trafficking
correctional facility inmate trafficked marihuana - felony,Drug Trafficking
deliver or deal crack cocaine,Drug Trafficking
exchanging marihuana for money,Drug Trafficking
marihuana for delivery,Drug Trafficking
planning to sell cocaine for profit,Drug Trafficking
"indicted for a misdemeanor, selling of heroin",Drug Trafficking
possession of cannabis with intent,Drug Trafficking
arrested for controlled substance dealing,Drug Trafficking
charged with operation of a clandestine drugs laboratory,Drug Trafficking
indicted for carrying controlled substanc for sale,Drug Trafficking
charged with trafficking offenses,Drug Trafficking
possession of marijuana with intent,Drug Trafficking
planning to sell controlled substanc for profit,Drug Trafficking
arrested for illegally smuggling drugs to sell on market,Drug Trafficking
detention center inmate trafficked meth - felony,Drug Trafficking
under suspicion of cultivating cannabis,Drug Trafficking
